x,CCA,ICA
0.4475451747195406,4.873,3.3752
0.45559155479760666,4.9183,3.4253
0.4624580522245434,4.9132,3.4671
0.4650446027611852,4.8981,3.4795
0.4721528712309443,4.8226,3.4815
0.4821524016756132,4.6674,3.4835
0.4842803864740091,4.6331,3.4834
0.49027670795756423,4.5423,3.4655
0.4998846092750165,4.4203,3.4033
0.5070957802960595,4.3529,3.3975
0.5081647679647373,4.3451,3.3973
0.5180084460016363,4.294,3.3853
0.5257421222102668,4.2669,3.3954
0.5299111741181101,4.2511,3.3918
0.5351941711199494,4.2266,3.3833
0.5423813648474894,4.1877,3.3813
0.5527705263115829,4.1289,3.3794
0.5537196275127454,4.1238,3.3797
0.560738980185764,4.0888,3.3814
0.5701910290954466,4.0486,3.3653
0.5775280809073807,4.0219,3.3611
0.5782374091735126,4.0195,3.3613
0.5882369396181815,3.9876,3.3634
0.5966739497695681,3.9624,3.3554
0.6023285948207048,3.9456,3.3539
0.6053447385326095,3.9364,3.3554
0.6140155272956509,3.9091,3.3594
0.6236244276669993,3.8776,3.3454
0.6261370482153401,3.8692,3.3424
0.6315139562833996,3.851,3.3354
0.6414355605241835,3.8184,3.3193
0.648310050382288,3.7975,3.3394
0.6499455016099753,3.7928,3.3396
0.6590898419197019,3.7696,3.3274
0.6667455919244475,3.754,3.3274
0.6747460155232994,3.7419,3.3216
0.6767451223691163,3.7396,3.3214
0.6844008723738619,3.7325,3.3274
0.6943214775607499,3.7234,3.3094
0.6995475284905195,3.7165,3.3127
0.702367857638816,3.7117,3.3154
0.7122894618796,3.6902,3.3074
0.7198662866265646,3.6728,3.3014
0.7233559818851547,3.6656,3.3028
0.7296310394056827,3.655,3.3054
0.7380680495570694,3.6452,3.2994
0.7475200984667519,3.6403,3.2914
0.7481574948523747,3.6402,3.2915
0.7554885523409332,3.6404,3.2954
0.7648626750467308,3.642,3.2874
0.7728311289209119,3.6403,3.2774
0.7729580087656989,3.6402,3.2774
0.7824400292922602,3.6314,3.2794
0.790798114185866,3.6213,3.2774
0.7977595217329189,3.6148,3.2713
0.8001722368916635,3.6134,3.2694
0.8087650994508201,3.6118,3.2654
0.8179054435449629,3.6136,3.2614
0.8225600356462429,3.6148,3.2635
0.8262645274924646,3.6155,3.2635
0.8356386501982622,3.6162,3.2514
0.8446221428307392,3.6154,3.2495
0.8473615486134629,3.6148,3.2489
0.8529023015204601,3.6135,3.2495
0.8615740893373974,3.612,3.2535
0.8711040644509649,3.6142,3.2314
0.8721630615806831,3.6149,3.231
0.8791504445290309,3.6216,3.2395
0.889071049715919,3.6339,3.2275
0.8959725140292143,3.6404,3.2215
0.8975859860711906,3.6413,3.2215
0.9069601087769881,3.6431,3.2255
0.9150064888550542,3.6417,3.2255
0.9207730279425383,3.6404,3.216
0.9246933154302874,3.6399,3.2095
0.9327396955083536,3.6398,3.2055
0.9419579658063812,3.6403,3.2035
0.9455745409097583,3.6405,3.2041
0.9499254206266664,3.6406,3.2035
0.9590657647208094,3.6407,3.1955
0.9681271835571713,3.6405,3.1975
0.9703760538769785,3.6405,3.1965
0.9767200461163278,3.6405,3.1895
0.98546976013715,3.6405,3.1835
0.9943753265657422,3.6405,3.1855
0.9951765677903025,3.6406,3.1851
1.0,3.6406,3.1755
