x,CCA_original,CCA_smoothed
0.5299111741181101,4.2511,4.245811922508551
0.5351941711199494,4.2266,4.215782115167473
0.5423813648474894,4.1877,4.182440087630858
0.5527705263115829,4.1289,4.148442043820227
0.5537196275127454,4.1238,4.116411730485014
0.560738980185764,4.0888,4.0861457490585975
0.5701910290954466,4.0486,4.057697454700681
0.5775280809073807,4.0219,4.032489797454423
0.5782374091735126,4.0195,4.010152714252067
0.5882369396181815,3.9876,3.988739142947925
0.5966739497695681,3.9624,3.967861836281846
0.6023285948207048,3.9456,3.9480416009809836
0.6053447385326095,3.9364,3.928329715009222
0.6140155272956509,3.9091,3.9075667690980675
0.6236244276669993,3.8776,3.88642172894436
0.6261370482153401,3.8692,3.8657528298962145
0.6315139562833996,3.851,3.845016517693284
0.6414355605241835,3.8184,3.824268259048316
