x,ICA_original,ICA_smoothed
0.5257421222102668,3.3954,3.3909361299926113
0.5299111741181101,3.3918,3.3886060170107974
0.5351941711199494,3.3833,3.385611120746501
0.5423813648474894,3.3813,3.382709726660549
0.5527705263115829,3.3794,3.380422602600037
0.5537196275127454,3.3797,3.3780085232936745
0.560738980185764,3.3814,3.3743042214328627
0.5701910290954466,3.3653,3.3694652041763
0.5775280809073807,3.3611,3.3650735638164058
0.5782374091735126,3.3613,3.362066008410768
0.5882369396181815,3.3634,3.3598434061651803
0.5966739497695681,3.3554,3.357791537509999
0.6023285948207048,3.3539,3.356098823932343
0.6053447385326095,3.3554,3.35452011053599
0.6140155272956509,3.3594,3.3518040748248943
0.6236244276669993,3.3454,3.3471518885307248
0.6261370482153401,3.3424,3.341305668531689
